time_epoch,time,Temperature (C),temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,Humidity (%),cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,Timestamp
1736776800,13/01/2025 15:00,1.1,34,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.1,5,56,ENE,1040,30.7,0,0,0,85,0,-0.3,31.4,-0.3,31.4,1.1,34,-1.1,30.1,0,0,0,0,10,6,5.2,8.4,2,13/01/2025 15:00
1736780400,13/01/2025 16:00,-0.8,30.6,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.1,5,47,NE,1039,30.69,0,0,0,92,0,-2.5,27.5,-2.5,27.5,-0.8,30.6,-2,28.5,0,0,0,0,10,6,6.6,10.6,2,13/01/2025 16:00
1736784000,13/01/2025 17:00,-3.5,25.7,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",2.9,4.7,64,ENE,1039,30.7,0,0,0,94,0,-5.4,22.3,-5.4,22.3,-3.5,25.7,-4.3,24.2,0,0,0,0,2,1,6.1,9.8,0,13/01/2025 17:00
1736787600,13/01/2025 18:00,-4.5,23.9,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",3.4,5.4,115,ESE,1039,30.7,0,0,0,94,0,-6.9,19.6,-6.9,19.6,-4.5,23.9,-5.3,22.6,0,0,0,0,2,1,7,11.3,0,13/01/2025 18:00
1736791200,13/01/2025 19:00,-4.9,23.1,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",3.1,5,138,SE,1039,30.69,0,0,0,94,0,-7.2,19,-7.2,19,-4.9,23.1,-5.7,21.7,0,0,0,0,2,1,6.6,10.6,0,13/01/2025 19:00
1736794800,13/01/2025 20:00,-5.2,22.7,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",2.5,4,171,S,1039,30.69,0,0,0,94,0,-6.8,19.8,-6.8,19.8,-5.2,22.7,-6,21.3,0,0,0,0,2,1,5.2,8.3,0,13/01/2025 20:00
1736798400,13/01/2025 21:00,-5.3,22.4,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",3.1,5,177,S,1039,30.68,0,0,0,94,0,-7.6,18.3,-7.6,18.3,-5.3,22.4,-6.1,21,0,0,0,0,2,1,6.6,10.6,0,13/01/2025 21:00
1736802000,13/01/2025 22:00,-5.3,22.4,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.1,5,181,S,1039,30.67,0,0,0,93,0,-7.6,18.2,-7.6,18.2,-5.3,22.4,-6.3,20.7,0,0,0,0,10,6,6.6,10.6,0,13/01/2025 22:00
1736805600,13/01/2025 23:00,-5.4,22.2,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.1,5,185,S,1039,30.67,0,0,0,93,0,-7.8,18,-7.8,18,-5.4,22.2,-6.4,20.4,0,0,0,0,10,6,6.6,10.6,0,13/01/2025 23:00
1736809200,14/01/2025 00:00,-4.9,23.2,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.1,5,204,SSW,1039,30.69,0,0,0,92,1,-7.1,19.1,-7.1,19.1,-4.9,23.2,-6,21.3,0,0,0,0,10,6,6.6,10.6,0,14/01/2025 00:00
1736812800,14/01/2025 01:00,-5.2,22.6,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,223,SW,1039,30.68,0,0,0,93,1,-7.8,18.1,-7.8,18.1,-5.2,22.6,-6.1,21,0,0,0,0,10,6,7,11.3,0,14/01/2025 01:00
1736816400,14/01/2025 02:00,-4.8,23.4,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,7.6,192,SSW,1039,30.67,0,0,0,92,9,-8.2,17.2,-8.2,17.2,-4.8,23.4,-6,21.3,0,0,0,0,10,6,9.9,15.9,0,14/01/2025 02:00
1736820000,14/01/2025 03:00,-4,24.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.4,8.6,189,S,1038,30.64,0,0,0,88,17,-7.7,18.1,-7.7,18.1,-4,24.7,-5.7,21.7,0,0,0,0,10,6,11.3,18.1,0,14/01/2025 03:00
1736823600,14/01/2025 04:00,-4,24.7,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.4,5.4,208,SSW,1037,30.63,0,0,0,87,46,-6.4,20.5,-6.4,20.5,-4,24.7,-5.9,21.5,0,0,0,0,10,6,7,11.3,0,14/01/2025 04:00
1736827200,14/01/2025 05:00,-4.3,24.3,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.4,5.4,217,SW,1037,30.62,0,0,0,89,53,-6.7,20,-6.7,20,-4.3,24.3,-5.8,21.5,0,0,0,0,10,6,7,11.3,0,14/01/2025 05:00
1736830800,14/01/2025 06:00,-3.6,25.6,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",5.4,8.6,195,SSW,1036,30.6,0,0,0,85,98,-7.2,19.1,-7.2,19.1,-3.6,25.6,-5.8,21.7,0,0,0,0,10,6,11.3,18.1,0,14/01/2025 06:00
1736834400,14/01/2025 07:00,-3.3,26,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.4,5.4,220,SW,1037,30.61,0,0,0,84,49,-5.6,22,-5.6,22,-3.3,26,-5.6,22,0,0,0,0,10,6,7,11.3,0,14/01/2025 07:00
1736838000,14/01/2025 08:00,-4.1,24.5,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",4.5,7.2,201,SSW,1037,30.62,0,0,0,87,46,-7.3,18.9,-7.3,18.9,-4.2,24.5,-6,21.2,0,0,0,0,10,6,9.4,15.1,0,14/01/2025 08:00
1736841600,14/01/2025 09:00,-3.6,25.5,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.1,8.3,207,SSW,1037,30.62,0,0,0,83,24,-7.1,19.3,-7.1,19.3,-3.6,25.5,-6,21.1,0,0,0,0,10,6,10.8,17.4,2,14/01/2025 09:00
1736845200,14/01/2025 10:00,-1.8,28.7,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.4,8.6,213,SSW,1037,30.62,0,0,0,78,17,-5.1,22.9,-5.1,22.9,-1.8,28.7,-5.1,22.8,0,0,0,0,10,6,11.3,18.1,2,14/01/2025 10:00
1736848800,14/01/2025 11:00,0.2,32.3,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",6.3,10.1,215,SW,1037,30.61,0,0,0,73,32,-3.1,26.4,-3.1,26.4,0.2,32.3,-4.1,24.5,0,0,0,0,10,6,11.1,17.9,2,14/01/2025 11:00
1736852400,14/01/2025 12:00,1.3,34.4,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",6.3,10.1,233,SW,1036,30.6,0,0,0,71,42,-1.8,28.8,-1.8,28.8,1.3,34.4,-3.4,25.8,0,0,0,0,10,6,10.3,16.6,2,14/01/2025 12:00
1736856000,14/01/2025 13:00,1.9,35.5,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",6.9,11.2,234,SW,1035,30.58,0,0,0,71,47,-1.3,29.7,-1.3,29.7,1.9,35.5,-2.7,27.1,0,0,0,0,10,6,11.2,18,2,14/01/2025 13:00
1736859600,14/01/2025 14:00,2.2,36,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",7.6,12.2,225,SW,1034,30.54,0,0,0,74,40,-1.2,29.9,-1.2,29.9,2.2,36,-2,28.5,0,0,0,0,10,6,12.6,20.3,2,14/01/2025 14:00
1736863200,14/01/2025 15:00,1.8,35.3,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",7.4,11.9,224,SW,1034,30.53,0,0,0,76,39,-1.6,29.2,-1.6,29.2,1.8,35.3,-1.9,28.7,0,0,0,0,10,6,13.4,21.5,2,14/01/2025 15:00
1736866800,14/01/2025 16:00,1.6,34.8,1,"{'text': 'Cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/119.png', 'code': 1006}",6.9,11.2,229,SW,1034,30.53,0,0,0,79,84,-1.7,28.9,-1.7,28.9,1.6,34.8,-1.7,28.9,0,0,0,0,10,6,13.2,21.2,1,14/01/2025 16:00
1736870400,14/01/2025 17:00,1,33.8,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",6.9,11.2,220,SW,1034,30.53,0,0,0,83,100,-2.4,27.7,-2.4,27.7,1,33.8,-1.6,29.1,0,0,0,0,10,6,14.3,23,0,14/01/2025 17:00
1736874000,14/01/2025 18:00,1.4,34.5,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",6.7,10.8,220,SW,1034,30.53,0.01,0,0,85,100,-1.8,28.7,-1.8,28.7,1.4,34.5,-0.8,30.5,0,45,0,0,10,6,13.2,21.3,0,14/01/2025 18:00
1736877600,14/01/2025 19:00,1.5,34.6,0,"{'text': 'Light drizzle', 'icon': '//cdn.weatherapi.com/weather/64x64/night/266.png', 'code': 1153}",6,9.7,222,SW,1034,30.54,0.16,0.01,0,89,100,-1.5,29.3,-1.5,29.3,1.5,34.6,-0.1,31.8,1,100,0,0,2,1,11.7,18.9,0,14/01/2025 19:00
1736881200,14/01/2025 20:00,1.5,34.7,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",6.9,11.2,220,SW,1034,30.53,0,0,0,92,100,-1.8,28.8,-1.8,28.8,1.5,34.7,0.4,32.7,0,45,0,0,10,6,13.5,21.7,0,14/01/2025 20:00
1736884800,14/01/2025 21:00,1.6,35,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",7.2,11.5,229,SW,1034,30.52,0,0,0,94,100,-1.7,28.9,-1.7,28.9,1.7,35,0.9,33.5,0,0,0,0,2,1,13.8,22.2,0,14/01/2025 21:00
1736888400,14/01/2025 22:00,1.7,35.1,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",6.5,10.4,222,SW,1033,30.51,0,0,0,96,100,-1.4,29.5,-1.4,29.5,1.7,35.1,1.2,34.1,0,0,0,0,2,1,12.4,19.9,0,14/01/2025 22:00
1736892000,14/01/2025 23:00,1.8,35.2,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.8,9.4,220,SW,1033,30.52,0,0,0,97,100,-1.1,30.1,-1.1,30.1,1.8,35.2,1.4,34.5,0,45,0,0,0,0,11.3,18.1,0,14/01/2025 23:00
1736895600,15/01/2025 00:00,1.8,35.2,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",6.3,10.1,221,SW,1033,30.52,0,0,0,97,100,-1.2,29.8,-1.2,29.8,1.8,35.2,1.3,34.4,0,0,0,0,2,1,11.9,19.1,0,15/01/2025 00:00
1736899200,15/01/2025 01:00,1.8,35.2,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.8,9.4,224,SW,1033,30.52,0,0,0,98,100,-1,30.2,-1,30.2,1.8,35.2,1.5,34.7,0,0,0,0,0,0,11.2,18.1,0,15/01/2025 01:00
1736902800,15/01/2025 02:00,1.8,35.3,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.6,9,225,SW,1033,30.51,0.03,0,0,99,100,-0.9,30.4,-0.9,30.4,1.8,35.3,1.6,35,0,45,0,0,0,0,11.1,17.9,0,15/01/2025 02:00
1736906400,15/01/2025 03:00,1.9,35.4,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.4,8.6,229,SW,1033,30.5,0.01,0,0,99,100,-0.7,30.7,-0.7,30.7,1.9,35.4,1.8,35.2,0,45,0,0,0,0,10.9,17.5,0,15/01/2025 03:00
1736910000,15/01/2025 04:00,1.9,35.5,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.1,8.3,227,SW,1033,30.5,0.04,0,0,99,100,-0.5,31,-0.5,31,2,35.5,1.9,35.3,0,45,0,0,0,0,10.6,17,0,15/01/2025 04:00
1736913600,15/01/2025 05:00,2,35.6,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",4.9,7.9,217,SW,1033,30.5,0.04,0,0,99,100,-0.4,31.3,-0.4,31.3,2,35.6,1.9,35.4,0,45,0,0,0,0,10.3,16.6,0,15/01/2025 05:00
1736917200,15/01/2025 06:00,2,35.7,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",4.7,7.6,222,SW,1033,30.5,0.02,0,0,99,100,-0.2,31.6,-0.2,31.6,2,35.7,2,35.5,0,45,0,0,0,0,9.8,15.7,0,15/01/2025 06:00
1736920800,15/01/2025 07:00,2,35.6,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",3.4,5.4,220,SW,1033,30.51,0.03,0,0,99,100,0.5,32.9,0.5,32.9,2,35.6,1.9,35.5,0,45,0,0,0,0,7,11.2,0,15/01/2025 07:00
1736924400,15/01/2025 08:00,2,35.5,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",3.1,5,219,SW,1034,30.53,0.02,0,0,99,100,0.6,33.1,0.6,33.1,2,35.5,1.9,35.4,0,45,0,0,0,0,6.5,10.5,0,15/01/2025 08:00
1736928000,15/01/2025 09:00,2,35.6,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",2.9,4.7,204,SSW,1034,30.54,0.02,0,0,100,100,0.8,33.4,0.8,33.4,2,35.6,1.9,35.5,0,45,0,0,0,0,6,9.6,1,15/01/2025 09:00
1736931600,15/01/2025 10:00,2.4,36.3,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",3.8,6.1,221,SW,1034,30.53,0,0,0,99,100,0.7,33.3,0.7,33.3,2.4,36.3,2.3,36.2,0,0,0,0,0,0,7.5,12.1,1,15/01/2025 10:00
1736935200,15/01/2025 11:00,3.1,37.6,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",2.7,4.3,249,WSW,1034,30.55,0,0,0,100,100,2.2,36,2.2,36,3.1,37.6,3.1,37.5,0,0,0,0,0,0,4.9,7.9,1,15/01/2025 11:00
1736938800,15/01/2025 12:00,3.8,38.8,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",1.8,2.9,217,SW,1034,30.55,0,0,0,100,100,3.8,38.8,3.8,38.8,3.8,38.8,3.7,38.7,0,0,0,0,0,0,3,4.9,1,15/01/2025 12:00
1736942400,15/01/2025 13:00,4.1,39.3,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",1.8,2.9,243,WSW,1034,30.54,0,0,0,100,100,4.1,39.3,4.1,39.3,4.1,39.3,4,39.2,0,45,0,0,0,0,3,4.8,1,15/01/2025 13:00
1736946000,15/01/2025 14:00,4.1,39.4,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",1.6,2.5,232,SW,1034,30.53,0,0,0,100,100,4.1,39.4,4.1,39.4,4.1,39.4,4.1,39.3,0,45,0,0,0,0,2.6,4.2,1,15/01/2025 14:00
1736949600,15/01/2025 15:00,4,39.3,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",1.1,1.8,256,WSW,1034,30.53,0,0,0,100,100,4,39.3,4,39.3,4,39.3,4,39.2,0,0,0,0,0,0,2,3.2,1,15/01/2025 15:00
